hypothesis,period,events,pairs,supportRate,metric,mean,ciLow,ciHigh,pValue
H1,1990s,261,20,0.27586206896551724,fwd_common_return,0.04579117817617599,0.023931521673256153,0.06914136333113534,1.0
H1,2000s,1008,37,0.3194444444444444,fwd_common_return,0.02172746207149889,0.01373319135216527,0.03021795870547045,1.0
H1,2010s,854,49,0.3524590163934426,fwd_common_return,0.010873639073357698,0.003292444623932525,0.01759933481151071,0.997
H1,2020s,1023,53,0.3763440860215054,fwd_common_return,0.032037273628478115,0.022994203355988556,0.04071028049296029,1.0
H2,1990s,299,20,0.12709030100334448,fwd_common_return,0.04339390045953467,0.02616297494953413,0.061459541332448867,0.0
H2,2000s,688,37,0.11627906976744186,fwd_common_return,0.0308552942440398,0.01704083483988507,0.04428524453715924,0.0
H2,2010s,573,45,0.17452006980802792,fwd_common_return,0.010758388743041618,0.002756510073112112,0.019024652817407072,0.0035
H2,2020s,576,53,0.12152777777777778,fwd_common_return,0.02424609057934821,0.013687078510108268,0.036745666673240245,0.0
H3,1990s,343,20,0.4402332361516035,fwd_preferred_return,0.0625030964994102,0.04385674406550853,0.08757523449658457,1.0
H3,2000s,775,37,0.39225806451612905,fwd_preferred_return,0.008607873255829448,-0.004202489644428784,0.021996836337606955,0.919
H3,2010s,662,49,0.4093655589123867,fwd_preferred_return,0.0008221957293171062,-0.012518764697580394,0.015163507154925827,0.537
H3,2020s,508,53,0.3562992125984252,fwd_preferred_return,0.015506091371272245,0.002169233326299152,0.030693755999640464,0.988
